jobs,skills,employment,coverage
"Purchasing Agents, Except Wholesale, Retail, and Farm Products","{'Monitor and adhere to applicable regulations (Compliance & Legal > Regulatory Compliance > Regulatory Compliance Monitoring & Adherence)', 'Monitor shipments and resolve delivery issues (Operations & Logistics > Supply Chain Operations Management > EndToEnd Product Flow Tracking)', 'Administer procurement documents (POs, bids, requisitions) (Operations & Logistics > Procurement & Purchasing > Purchase Order Preparation, Bid Solicitation & Requisition Review)', 'Develop and review product specifications for procurement (root > Operations & Logistics > Procurement & Purchasing > Product Specification Development & Review (Procurement))', 'Research and evaluate suppliers across defined criteria (Operations & Logistics > Procurement & Purchasing > Supplier Evaluation & Selection Criteria Assessment)', 'Analyze sales and inventory to design purchasing programs (Operations & Logistics > Supply Chain Operations Management > Inventory Analytics & Optimization)', 'Research and source goods and services using industry publications and contacts (Operations & Logistics > Procurement & Purchasing > Supplier & Product Research)', 'Analyze price proposals and financial data to determine fair procurement pricing (Operations & Logistics > Procurement & Purchasing > Price Proposal & Cost Analysis)', 'Maintain and review purchasing and inventory records (Operations & Logistics > Procurement & Purchasing > Purchasing & Inventory Records Maintenance & Review)'}",522200,0.010676156583629894
Financial Examiners,"{'Review corporate meeting minutes to assess management authority (Compliance & Legal > Regulatory Compliance > Corporate Governance Records Review)', 'Prepare compliance and safety/soundness examination reports with recommendations (Compliance & Legal > Compliance Reporting & Documentation)', 'Verify institutional assets and liabilities by reviewing financial statements and loan documents (Finance & Accounting > Financial Profile Assessment > Asset & Liability Verification via Statement Review)'}",65100,0.0035587188612099642
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","{'Process incoming correspondence and handle routine responses (Administration & Office > Document Production & Distribution > Incoming Correspondence Processing & Routine Response)', 'Maintain timekeeping records and process payroll. (Finance & Accounting > Payroll Processing)', 'Attach relevant files to correspondence requiring replies (Administration & Office > Records Management > Correspondence File Attachment & Preparation)', 'Review documents for spelling, grammar, and style guide compliance; recommend revisions (Content & Publishing > Document Style & Format Compliance Review)', 'Operate office productivity and database software (Administration & Office > General Office Administration > Office Equipment & Productivity Software Operation)', 'Maintain scheduling and event calendars (Administration & Office > Scheduling & Notifications > Calendar Maintenance & Event Scheduling)', 'Produce and distribute routine meeting notes, correspondence, and reports (Administration & Office > General Office Administration > Administrative Reports & Paperwork Preparation)', 'Schedule and confirm appointments (Administration & Office > Scheduling & Notifications > Appointment Scheduling)', 'Complete forms according to company procedures (Administration & Office > General Office Administration > Forms Completion & Processing)', 'Set up and maintain paper and electronic filing systems (Administration & Office > Records Management > Document Filing & Archiving)', 'Assist customers with order placement and account information (Administration & Office > Customer Service & Issue Resolution > Order Placement Assistance & Account Information Support)', 'Oversee clerical workflows and schedules (Administration & Office > General Office Administration > Clerical Workflow Procedures & Scheduling Oversight)', 'Conduct online information searches (Administration & Office > Research Coordination & Communications > Background Literature & Internet Research)', 'Create, enter, and maintain data in databases (Administration & Office > Records Management > Database Creation, Data Entry & Maintenance)', 'Operate email systems and coordinate information flow across teams and organizations (Administration & Office > General Office Administration > Office Equipment & Productivity Software Operation)'}",1944000,0.017793594306049824
Human Resources Specialists,"{'Conduct applicant background and reference checks (Administration & Office > Human Resources Administration > Employment Verification)', 'Analyze personnel data and prepare HR reports (Administration & Office > Human Resources Administration > Personnel Records Maintenance & Reporting)', 'Match applicants to job requirements from application materials (Administration & Office > Human Resources Administration > ApplicantJob Requirement Matching)', 'Evaluate applicant eligibility against licensing requirements (Compliance & Legal > Regulatory Compliance > Eligibility & Liability Documentation Review)', 'Communicate applicant status updates (Administration & Office > Human Resources Administration > Applicant Status Communication & Notification)', 'Communicate job details and employment terms to applicants (Administration & Office > Human Resources Administration > Applicant Job Details & Employment Terms Communication)', 'Administer employee benefits programs (Administration & Office > Human Resources Administration > Compensation, Benefits & Performance Program Administration)', 'Maintain employment records in HR systems (Administration & Office > Human Resources Administration > Personnel Records Maintenance & Reporting)', 'Conduct hiring and process employment paperwork (Administration & Office > Human Resources Administration > Hiring & Employment Paperwork Processing)', 'Schedule and administer employee assessments and screenings (Administration & Office > Human Resources Administration > Applicant Test Development, Administration & Evaluation)', 'Source qualified candidates across multiple channels (Administration & Office > Human Resources Administration > Candidate Sourcing & Talent Search)'}",944300,0.013048635824436536
Treasurers and Controllers,"{'Calculate and record payroll deductions (Finance & Accounting > Payroll Processing > Payroll Calculation & Data Entry)', 'Oversee financial planning, budgeting, procurement, and investment operations (Finance & Accounting > Financial Planning, Budgeting & Investment Oversight)', 'Evaluate liquidity needs and surplus investment options and recommend actions (Finance & Accounting > Fiscal Operations Management > Liquidity Needs Assessment & Surplus Investment Recommendations)', 'Process and approve disbursement requests per policy (Finance & Accounting > Accounts Payable & Disbursements > Disbursement Request Processing & Approval)', 'Analyze operational financials to identify opportunities and improvements (Finance & Accounting > Financial Profile Assessment > Firm Financial Status Analysis & Assessment)', 'Monitor cash flow and reserves for financial regulatory compliance (Finance & Accounting > Fiscal Operations Management > Cash Flow & Reserve Compliance Monitoring)'}",868600,0.0071174377224199285
Power Distributors and Dispatchers,"{'Operate and monitor utility distribution control systems (Operations & Logistics > Process Control & Parameter Adjustment > Utility Distribution Systems Operation & Monitoring)', 'Monitor demand conditions and adjust power distribution parameters (Operations & Logistics > Process Control & Parameter Adjustment > Utility Distribution Systems Operation & Monitoring)'}",9300,0.002372479240806643
Graphic Designers,"{'Maintain archives of images, photos, and prior work products (Content & Publishing > Editorial Document Archiving & Digital File Management)', 'Review final layouts and recommend improvements (Content & Publishing > OnScreen Proofing & Iterative Layout Adjustment)', 'Develop design concepts and layout mockups (Content & Publishing > Concept Layout & Mockup Creation)', 'Create digital charts, graphics, and illustrations (Content & Publishing > Digital Illustration & Graphic Creation)', 'Create draft illustrations and iterate based on feedback (Content & Publishing > Design Feedback Integration)', 'Research new software and design concepts (Content & Publishing > Design & Production Technology Trend Research)', 'Analyze visual assets to plan presentation of materials, products, or services (Content & Publishing > Content Selection & Organization for Presentation)', 'Input content into desktop publishing tools to create layouts (Content & Publishing > Page Layout & Composition (Print & Web) > Desktop Publishing & CameraReady Layout Production)', 'Specify layout, typography, and placement of text and imagery. (Content & Publishing > Print Layout & Typography Specification)', 'Create new digital images using design software (Content & Publishing > Digital Illustration & Graphic Creation)', 'Design graphics and page layouts (Content & Publishing > Digital Illustration & Graphic Creation)'}",265900,0.013048635824436536
Proofreaders and Copy Markers,"{'Detect and correct omissions, errors, and inconsistencies in content (Content & Publishing > Editorial Copyediting & Proofreading (Multimedia))', 'Verify corrections in proofs (Content & Publishing > Publication Proof Review & Correction)', 'Route corrected proofs for revision or reprinting. (Content & Publishing > Proof Routing & Correction Workflow Coordination)', 'Crossverify records to detect discrepancies and errors (root > Data & Analytics > Data Quality & Validation > Data Accuracy Verification & Correction)', 'Archive documents and perform content research using digital tools (Content & Publishing > Editorial Document Archiving & Digital File Management)'}",12000,0.005931198102016607
Cost Estimators,"{'Compile historical cost data for product estimates (Operations & Logistics > Project Planning & Feasibility > Historical Cost Data Collection for Estimation)', 'Prepare work planning estimates for cost, resources, and scheduling (Operations & Logistics > Project Planning & Feasibility > Project Materials, Equipment & Labor Cost Estimation)', 'Prepare periodic project cost and expenditure statements (Finance & Accounting > Financial Calculations & Reporting > Project Cost & Expenditure Statement Preparation)', 'Produce time, cost, materials, and labor estimates from blueprints and specifications (Operations & Logistics > Project Planning & Feasibility > Project Materials, Equipment & Labor Cost Estimation)'}",221400,0.004744958481613286
Media Technical Directors/Managers,"{'Schedule studio and editing facility usage for production teams (root > Administration & Office > Scheduling & Notifications > Resource & Facility Scheduling)', 'Monitor video feeds and direct camera crew on shading and composition (Content & Publishing > Broadcast Production & OnAir Operations > Camera Shading & Composition Direction)', 'Configure and execute video transitions and effects (Content & Publishing > Broadcast Production & OnAir Operations > Video Transitions & Effects Configuration & Execution)', 'Monitor broadcast content for policy and regulatory compliance (Compliance & Legal > Regulatory Compliance > Broadcast Content Policy & Regulatory Compliance Monitoring)', 'Direct live broadcast technical operations (video source switching, camera/graphics control) (Content & Publishing > Broadcast Production & OnAir Operations)', 'Collaborate with promotion leads to produce onair station promotions (Content & Publishing > Broadcast Production & OnAir Operations)'}",167000,0.0071174377224199285
Editors,"{'Oversee publication production to meet schedule and budget. (Content & Publishing > Publication Production Management & Scheduling)', 'Proofread and correct spelling, punctuation, and syntax in copy (Content & Publishing > Editorial Copyediting & Proofreading (Multimedia))', 'Allocate print space for content per layout rules (Content & Publishing > Page Layout & Composition (Print & Web) > Print Space Allocation & Content Placement)', 'Edit and rewrite copy for readability and supervise editing (Content & Publishing > Editorial Copyediting & Proofreading (Multimedia))', 'Assign coverage topics to writers (Content & Publishing > Editorial Planning & Assignment)', 'Review and approve publication proofs before production. (Content & Publishing > Publication Proof Review & Correction)', 'Verify facts, dates, and statistics using authoritative sources (Content & Publishing > Fact Checking & Source Research)', 'Generate content ideas based on audience appeal (Content & Publishing > Editorial Ideation & Commentary Development)', 'Edit manuscripts and coordinate content changes (Content & Publishing > Editorial Copyediting & Proofreading (Multimedia))', 'Plan publication content per editorial standards (Content & Publishing > Editorial Planning & Assignment)', 'Write longform editorial content (articles, stories, newsletters) (Content & Publishing > Article, Story & Newsletter Writing)'}",115800,0.013048635824436536
